placekey,latitude,longitude,top_category,open_hours,location_name
25w-222@62j-sjv-j35,42.369603999999995,-71.111305,Drugs and Druggists' Sundries Merchant Wholesalers,"{ ""Mon"": [[""11:00"", ""21:00""]], ""Tue"": [[""11:00"", ""21:00""]], ""Wed"": [[""11:00"", ""21:00""]], ""Thu"": [[""11:00"", ""21:00""]], ""Fri"": [[""11:00"", ""21:00""]], ""Sat"": [[""11:00"", ""21:00""]], ""Sun"": [[""11:00"", ""21:00""]] }",Sira Naturals Cambridge
278-222@62j-sjv-n3q,42.37355,-71.126246,Lessors of Real Estate,,Condos at 993 Memorial Dr
286-222@62j-sjv-j7q,42.370453000000005,-71.113713,Home Furnishings Stores,"{ ""Mon"": [[""9:30"", ""18:00""]], ""Tue"": [[""9:30"", ""18:00""]], ""Wed"": [[""9:30"", ""18:00""]], ""Thu"": [[""9:30"", ""18:00""]], ""Fri"": [[""9:30"", ""18:00""]], ""Sat"": [[""9:30"", ""17:30""]], ""Sun"": [[""12:00"", ""17:00""]] }",Big Picture Framing
zzw-227@62j-sjv-8y9,42.370758,-71.113382,Offices of Other Health Practitioners,"{ ""Mon"": [[""9:00"", ""16:00""]], ""Tue"": [], ""Wed"": [[""9:00"", ""15:00""]], ""Thu"": [[""9:00"", ""15:00""]], ""Fri"": [], ""Sat"": [], ""Sun"": [] }",Jill K Colman Psy D
zzw-228@62j-sj2-t5f,42.367465,-71.107366,Offices of Real Estate Agents and Brokers,,Cambridge Premier Realty
zzw-229@62j-sj2-rkz,42.364956,-71.10345500000001,Other Amusement and Recreation Industries,"{ ""Mon"": [[""11:30"", ""23:00""]], ""Tue"": [[""11:30"", ""23:00""]], ""Wed"": [[""11:30"", ""23:00""]], ""Thu"": [[""11:30"", ""23:00""]], ""Fri"": [[""11:30"", ""23:00""]], ""Sat"": [[""10:00"", ""23:00""]], ""Sun"": [[""10:00"", ""23:00""]] }",Red Fox Escapes
227-222@62j-sj3-3nq,42.366985,-71.090488,"Management, Scientific, and Technical Consulting Services",,Redstar Ventures
22f-222@62j-sj2-qj9,42.365117,-71.108548,Religious Organizations,,Jhop
22g-222@62j-sj2-kcq,42.373383000000004,-71.10518,Lessors of Real Estate,,Apartments at 60 Highland Ave
22h-222@62j-sj2-7t9,42.370086,-71.090809,Lessors of Real Estate,,Apartments at 68 Berkshire St
22v-222@62j-sj3-8sq,42.375966999999996,-71.10094699999999,Lessors of Real Estate,,Apartments at 88 Concord Ave
23c-222@62j-sgg-k75,42.357690999999996,-71.10788199999999,Restaurants and Other Eating Places,,Cambridge Pizzeria
23k-222@62j-sj3-9fz,42.373384,-71.099462,Lessors of Real Estate,,Apartments at 1 Hampshire Ct
24p-222@62j-sj2-kvf,42.370647999999996,-71.101137,Traveler Accommodation,,Chez Pat
24y-222@62j-sj2-6x5,42.370982,-71.094413,Lessors of Real Estate,,Apartments at 44 Lincoln St
